95.104.54.227:42119|Georgia|K'alak'i T'bilisi|K'alak'i T'bilisi
103.149.238.102:9090|Indonesia|East Java|Pasuruan
1.0.205.87:8080|Thailand|Bangkok|Khwaeng Thung Song Hong
202.138.242.16:8080|Indonesia|West Java|Bandung
43.224.10.31:6666|India|Gujarat|Surat
181.129.2.90:8081|Colombia|Antioquia|Caldas
190.112.219.57:999|Argentina|Santa Fe|Rosario
91.93.118.3:8090|Turkey|Ankara|Ankara
85.25.132.9:5566|Austria|Vienna|Vienna
181.188.156.171:3128|Bolivia|Departamento de La Paz|La Paz
24.72.171.214:8080|United States|Texas|La Grange
36.79.221.204:8080|Indonesia|East Java|Kediri
194.233.69.90:443|Singapore|Central Singapore|Singapore
161.132.79.126:999|Peru|Lima|Lima
117.102.75.13:9999|Indonesia|East Java|Kediri
45.170.100.128:999|Chile|Santiago Metropolitan|Buin
105.235.222.2:8080|Mozambique|Cidade de Maputo|Maputo
122.148.196.246:8080|Australia|Victoria|Melbourne
49.231.140.119:8080|Thailand|Bangkok|Ratchathewi
80.84.176.110:8080|Ukraine|Zaporizhzhya Oblast|Zaporizhzhya
212.95.180.50:53281|Bulgaria|Sofia-Capital|Sofia
139.5.151.179:63123|Indonesia|Jakarta|Jakarta
78.47.227.89:8118|Germany|Lower Saxony|Ebstorf
119.42.125.254:8080|Thailand|Chon Buri|Pattaya
213.74.163.178:1981|Turkey|Istanbul|Istanbul
102.66.108.1:9999|South Africa|Limpopo|Hoedspruit
217.180.218.36:8080|United States|Michigan|Lansing
45.92.108.242:3128|France|Île-de-France|Paris
85.25.118.155:5566|Germany|Land Berlin|Berlin
103.146.30.178:8080|Indonesia|Jakarta|Kuningan Barat
77.20.6.96:8118|Germany|Free and Hanseatic City of Hamburg|Hamburg
60.250.159.191:45983|Taiwan|Taipei City|Taipei
182.16.163.202:3128|Indonesia|Jakarta|Jakarta
41.220.238.130:82|Kenya|Nairobi Province|Nairobi
175.101.85.129:8080|India|Telangana|Hyderabad
51.77.73.64:1081|Germany|Hesse|Limburg an der Lahn
41.65.236.35:1981|Egypt|Giza|Giza
179.93.65.233:8080|Brazil|Sao Paulo|São Paulo
124.158.167.242:8080|Indonesia|Banten|Tangerang
202.158.15.146:55667|Indonesia|Jakarta|Pademangan Barat
134.209.148.107:8081|India|Karnataka|Bengaluru
110.77.236.55:8080|Thailand|Bangkok|Bangkok
197.232.65.40:55443|Kenya|Nairobi Province|Nairobi
31.220.183.217:53281|Russia|Kemerovo Oblast|Novokuznetsk
